
//
// Prithviraj 1: "Born of Fire"
//

65500	"Prithviraj"
65501	"Nagarjuna"
65502	"Bhadanakas"
65503	"Chandelas"
65504	"Ghaznavids"
65505	"Paramaras"
65506	"Chauhan"
65508	"1. Prithviraj lived before the age of gunpowder. You will not be able to train gunpowder units or research the unique technology Shatagni in any scenario of this campaign.\n\n2. You are restricted to a population limit of 200.\n\n3. Choose carefully which Town Center you save. They each have different advantages.\n\n4. The Luni River is teeming with fish, but you will need to weaken the Bhadanakas to control the river.\n\n5. If you seek Relics, know that one will appear at random in an enemy town. Scouting is key to finding it.\n\n6. Rajasthan is filled with eager Rajput warriors. If you find them, they will serve Prithviraj."
65509	"Your scouts report:\n\n- Prithviraj's tiger hunt has been interrupted by rebellion. His cousin, Nagarjuna (Red), seeks to rule the Chauhan clan. He raids from the west with cavalry, camels, and archers.\n\n- The Rajput clans rival Prithviraj's Chauhan and each other. The Bhadanakas (Green) and Chandelas (Yellow) war over the floodplain. Prithviraj can take advantage of their rivalry to defeat or bypass them.\n\n- The Paramaras (Purple) command Abu, a Rajput holy site. They will not stray far from their mountain temple, which they defend with Monks and Elephant Archers.\n\n- Finally, the Ghaznavids (Cyan), horsemen of the west, have set their tents in the Thar Desert across the river in the north."
65510	"<BLUE>Kaimbasa: My raja, the villages are being attacked, but we only have enough men to save one of them!"
65511	"<BLUE>Kaimbasa: The village is safe, but Nagarjuna has slipped across the Luni River beyond the lands of the Rajputs. I will help you hunt him down to the setting sun."
65512	"<BLUE>Kaimbasa: A wise king unites a splintered people with shared traditions. Recover the lost relics and the gods will remove your obstacles, my raja, and restore Nagarjuna's loyalty."
65513	"<BLUE>Kaimbasa: With such speed, our enemies will think we ride upon Garuda himself! You are truly blessed by Rama, my raja!"
65514	"<BLUE>Kaimbasa: Vijay! Victory! All of the Chauhan bow to you, my raja! It is time to look outward - all of India awaits!"
65515	"<BLUE>Warrior: Our raja is wounded! He will rest for the coming battles."
65516	"+ Save one of the two Chauhan Town Centers."
65517	"Choose one of the following objectives:"
65518	"+ Kill the rebellious cousin, Nagarjuna."
65519	"- Save both Chauhan Town Centers."
65520	"+ Save one of the two Chauhan Town Centers."
65521	"+ Nagarjuna killed."
65522	"+ <Relics Captured, 1>/3 Relics captured."
65523	"- <Variable 1>/2 Town Centers saved."
65524	"Nagarjuna"
65525	"Ghulam"
65526	"Susruta"
65527	"+ Capture 3 Relics to unite the clan."
65528	"Choose one of the following:"

//
// Prithviraj 2: "The Digvijaya"
//

65600	"Prithviraj"
65601	"Jayachandra"
65602	"Chaulukya"
65603	"Soomra"
65604	"Lohara"
65605	"Naga"
65606	"Dacoits"
